created_date,address,borough,status,latitude,longitude
2026-03-17 13:36:00,14 OSTEND PLACE,QUEENS,Closed,40.5983450704,-73.74962481997
2026-03-17 13:09:00,,QUEENS,Closed,40.72758895408,-73.7372979089
2026-03-17 12:25:00,,QUEENS,Closed,40.72720166524,-73.73717676566
2026-03-17 11:11:00,454 15 STREET,BROOKLYN,Closed,40.66155974725,-73.98104099391
2026-03-17 10:58:00,24-08 37 STREET,QUEENS,Closed,40.76994867234,-73.91225310354
2026-03-17 09:35:00,144-44 77 AVENUE,QUEENS,Closed,40.72162407819,-73.81806748331
2026-03-17 09:27:00,24-08 37 STREET,QUEENS,Closed,40.76994867234,-73.91225310354
2026-03-17 09:21:00,73-98 YELLOWSTONE BOULEVARD,QUEENS,Closed,40.71655543816,-73.85772253221
2026-03-17 09:04:00,10 GRAND ARMY PLAZA,BROOKLYN,Closed,40.6728326975,-73.96906924546
2026-03-17 07:51:00,491 PARK PLACE,BROOKLYN,Closed,40.67519918884,-73.96160196269
2026-03-17 07:50:00,,QUEENS,Closed,40.72758895408,-73.7372979089
2026-03-17 07:44:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-17 06:59:00,,QUEENS,Closed,40.68179229102,-73.80978981666
2026-03-16 23:01:00,16 PLEASANT VALLEY AVENUE,STATEN ISLAND,Closed,40.61579084965,-74.08852397058
2026-03-16 17:25:00,175 WEST   95 STREET,MANHATTAN,Open,40.79300374499,-73.96993795502
2026-03-16 16:51:00,3826 PRATT AVENUE,BRONX,Closed,40.88884122131,-73.83446730959
2026-03-16 15:52:00,221-18 110 AVENUE,QUEENS,Started,40.70681366791,-73.73485860301
2026-03-16 14:22:00,103-23 109 STREET,QUEENS,Closed,40.68512508385,-73.83319903931
2026-03-16 12:38:00,7220 6 AVENUE,BROOKLYN,Closed,40.63020874672,-74.01941124298
2026-03-16 11:08:00,24 EXETER STREET,BROOKLYN,Closed,40.58129503637,-73.94899100182
2026-03-16 10:54:00,66-15 WETHEROLE STREET,QUEENS,Closed,40.72546911401,-73.85666444543
2026-03-16 10:49:00,,BROOKLYN,Closed,40.68493915239,-73.91013307604
2026-03-16 08:44:00,,BROOKLYN,Closed,40.67414595639,-74.0060060199
2026-03-16 08:38:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-16 08:06:00,2202 EAST   57 PLACE,BROOKLYN,Closed,40.60954254953,-73.91357682531
2026-03-16 00:10:00,,BROOKLYN,Closed,40.68493915239,-73.91013307604
2026-03-15 23:56:00,,BROOKLYN,Closed,40.68493915239,-73.91013307604
2026-03-15 23:37:00,,BROOKLYN,Closed,40.68350470491,-73.91151233377
2026-03-15 20:33:00,,BRONX,Closed,40.84434356571,-73.91474279615
2026-03-15 20:15:00,,QUEENS,Closed,40.68959160209,-73.80732998105
2026-03-15 19:28:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-15 18:33:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-15 17:33:00,118 HAWTHORNE STREET,BROOKLYN,Closed,40.65748237177,-73.95596445126
2026-03-15 17:02:00,84-50 160 STREET,QUEENS,Closed,40.71308268139,-73.80485248957
2026-03-15 15:54:00,314 COVERT STREET,BROOKLYN,Closed,40.6929750778,-73.90574447104
2026-03-15 15:46:00,75-54 193 STREET,QUEENS,Closed,40.73116056631,-73.77804873311
2026-03-15 15:31:00,91-01 WINCHESTER BOULEVARD,QUEENS,Closed,40.72753399334,-73.7372692619
2026-03-15 15:28:00,86-50 233 STREET,QUEENS,Closed,40.73215469824,-73.73661960675
2026-03-15 15:15:00,,QUEENS,Closed,40.7174001711,-73.85719404881
2026-03-15 14:41:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-15 13:45:00,24 EXETER STREET,BROOKLYN,Closed,40.58129503637,-73.94899100182
2026-03-15 12:43:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-15 12:29:00,,QUEENS,Closed,40.68179229102,-73.80978981666
2026-03-15 12:04:00,20-04 26 STREET,QUEENS,Closed,40.78157345196,-73.90974989342
2026-03-15 11:05:00,248-37 RUSHMORE AVENUE,QUEENS,Closed,40.7646625751,-73.73735383655
2026-03-15 09:47:00,2310 GLEBE AVENUE,BRONX,Closed,40.83766899025,-73.85055009375
2026-03-15 09:43:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-15 09:37:00,130-47 229 STREET,QUEENS,Closed,40.68097233755,-73.7388011392
2026-03-15 09:09:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-15 09:04:00,1738 EAST   38 STREET,BROOKLYN,Started,40.6148703391,-73.93456873704
2026-03-15 08:06:00,,QUEENS,Closed,40.76944396412,-73.91267977382
2026-03-15 00:55:00,144-44 77 AVENUE,QUEENS,Closed,40.72162407819,-73.81806748331
2026-03-15 00:34:00,669 LENOX ROAD,BROOKLYN,Started,40.65506540884,-73.93526093117
2026-03-14 21:01:00,,QUEENS,Closed,40.76944396412,-73.91267977382
2026-03-14 20:27:00,,BROOKLYN,Closed,40.69262605373,-73.9236706632
2026-03-14 18:39:00,,QUEENS,Closed,40.72720166524,-73.73717676566
2026-03-14 18:30:00,118 HERZL STREET,BROOKLYN,Closed,40.66736258129,-73.9150266923
2026-03-14 18:09:00,,BROOKLYN,Closed,40.69262605373,-73.9236706632
